name,lat,long
AIN EL,36.38333333,6.65
LA SENIA,35.61666667,0.583333333
MAISON BLANCHE,36.71666667,3.216666667
TELERGMA,36.11666667,6.416666667
TINDOUF,27.68333333,-8.083333333
ST JOHNS/COOLIDGE FIELD,17.11666667,-61.73333333
AMBERLY,-27.6,152.8166667
ARCHER,-27.58333333,153
BRISBANE,-27.43333333,153.1333333
CHARLEVILLE,-26.41666667,146.2166667
CLONCURRY,-20.68333333,140.5833333
HORN ISLAND,-10.6,142.1666667
LONGREACH,-23.45,144.0666667
MACKAY,-21.16666667,149.3
ROCKHAMPTON,-23.4,150.5333333
LAJES,38.76666667,-27.03333333
GREAT EXUMA ISLAND,23.51666667,-75.73333333
BERMUDA,32.36666667,-64.66666667
BAHREIN ISLAND,26.26666667,50.56666667
CHRISTS CHURCH,13.06666667,-59.58333333
CLEVELANDIA,3.866666667,-51.75
FERNANDO DE NORONHA,-3.833333333,-32.48333333
FORTALEZA,-3.766666667,-38.61666667
PARNAMIRIM,-5.9,-35.3
RECIFE,-8.116666667,-34.88333333
SAO LUIZ,-2.583333333,-44.23333333
VAL DE CANS,-1.383333333,-48.36666667
PARRITA,9.516666667,-84.45
SAN JOSE,9.9,-84
CANTON ISLAND,-2.766666667,-171.75
CAMAGUEY,21.4,-77.86666667
SAN ANTONIO,22.88333333,-82.63333333
CIUDAD TRUJILLO,18.48333333,-69.88333333
SHEIKH OTHMAN,12.86666667,44.86666667
LUXOR,25.7,32.66666667
MERSA MATRUH,31.45,27.25
PAYNE,30.13333333,31.35
SALINAS,-2.2,-81.08333333
SHARJAH,25.35,55.45
ERITREA,15.28333333,38.9
NANDI/AAF,-17.75,177.3666667
BASTIA/CORSICA,42.55,9.433333333
BASTIA/CORSICA,42.7,9.366666667
C DELORO/CORSICA,41.91666667,8.75
MARSEILLE,43.43333333,5.266666667
MIGLIACCIARO/CORSICA,42,9.45
PARIS/ORLY,48.73333333,2.366666667
PORTETTA/CORSICA,42.56666667,9.333333333
ACCRA,5.6,-0.3
NARSARSSUAK,61.18333333,-45.36666667
SIMIUTAK,60.68333333,-46.63333333
SONDRESTROM,67.01666667,-50.7
ATHENS,37.96666667,23.78333333
GUATEMALA CITY,14.58333333,-90.55
SAN JOSE,13.91666667,-90.83333333
GEORGETOWN,6.5,-58.21666667
PORT AU PRINCE,18.55,-72.35
BURNS FIELD/AAF,21.9,-159.5666667
HICKAM/AFB,21.33333333,-157.9
LYMAN FIELD/AAF,19.71666667,-155.0666667
MOKULEIA FIELD/AAF,21.58333333,-158.2166667
MOLOKAI/AP 524,21.15,-157.0333333
WHEELER/AFB 810.1,21.48333333,-158.05
CAMP DELTA,65.66666667,-18.03333333
KEFLAVIK,63.96666667,-22.61666667
REYKJAVIK,64.13333333,-21.91666667
AGRA,27.16666667,78.1
BAMRAULI,25.43333333,81.83333333
BANGALORE,12.95,77.58333333
BARRACKPORE,22.76666667,88.36666667
BINDUKURI,26.71666667,92.71666667
CHAKULIA,22.45,86.71666667
GAYA,24.75,84.96666667
JODHPUR,26.26666667,73.13333333
JORHAT,26.71666667,94.16666667
KALAIKUNDA,22.33333333,87.23333333
MOHANBERI,27.48333333,95.11666667
HABBANIYA,33.36666667,43.65
RUTBA,32.93333333,39.76666667
ABADAN,30.36666667,48.25
AMIRABAD POST,35.71666667,51.48333333
CAMP PARKS,34.85,48.6
AMENDOLA,41.55,15.73333333
AMENDOLA/MU 9,41.71666667,15.46666667
BARI,41.13333333,16.81666667
CAGLIARI/SARDINIA,39.25,9.116666667
CIAMPINO,41.8,12.51666667
DECIMOMANNO,39.3,9.25
FLORENCE/MU 1+4+10,43.76666667,11.2
FOGGIA,41.43333333,15.61666667
FOGGIA/MU 18,41.45,15.65
FONTANA,37.45,15.01666667
LECCE/MU 2,40.23333333,18.08333333
NAPLES,40.9,14.18333333
PALERMO/MU 10,38.11666667,13.36666667
PISA,43.68333333,10.45
KINGSTON,17.9,-77.18333333
CHITOSE HOKKAIDO,42.8,141.55
KADENA/AB,26.35,127.8166667
KANOYA,31.36666667,130.9166667
OKINAWA/RYUKYU ISLANDS,26.2,127.5666667
OSAKA,34.8,135.3666667
TACHIKAWA,35.7,139.4166667
SEOUL/ROK K-14,37.55,126.7
AMURI/FIELD AAF,-18.83333333,-159.7833333
ST LUCIA/ISLAND,13.73333333,-60.85
CAPE PALMAS,4.366666667,-7.733333333
FISHERMANS LAKE,6.75,-11.26666667
MARSHALL/ROBERTS FIELD,6.233333333,-10.43333333
WHEELUS,32.9,13.21666667
CASABLANCA/CAZES FIELD,33.58333333,-7.5
MARRAKECH,31.65,-8.15
OUJDA,34.75,-1.9
TOUAHAR,34.2,-4.25
ATAR,20.46666667,-13.03333333
BOUGAINVILLE/AAF,-6.233333333,155.1333333
FINSCHHAFEN/AAF,-6.616666667,147.85
JACKSON,-9.45,147.2166667
LAE/AAF,-6.75,146.9333333
ESPIRITU SANTO/AAF,-15.5,167.2666667
APAPA,6.45,3.433333333
KANO,12.05,8.5
MAIDUGURI,11.85,13.13333333
MERCEDES,12.13333333,-86.23333333
WILLEMSTAD,12.18333333,-68.96666667
CHRISTMAS ISLAND/AAF,1.983333333,-157.4166667
MASIRAH ISLAND,20.65,58.83333333
SALALAH,17.05,54.06666667
BORA BORA/AAF,-16.45,-151.7333333
CLARK,15.18333333,120.5
MANILA/AAF,14.5,121.0666667
IWO JIMA/AB,24.78333333,141.2666667
KWAJALEIN/AFB,8.716666667,167.7833333
PALMYRA ISLAND/LINE ISLANDS,5.883333333,-162.05
BHOLARI,25.31666667,68.18333333
JIWANI,25.06666667,61.8
KARACHI,24.9,67.25
BALBOA/ALBROOK,8.966666667,-79.5
DAVID,8.383333333,-82.33333333
FORT KOBBE,8.916666667,-79.63333333
HOWARD,8.916666667,-79.65
JAQUE,7.5,-78.01666667
POCRI,7.733333333,-80
REY ISLAND,8.233333333,-78.08333333
RIO HATO,8.366666667,-80
KUUJJAUQ/AIRPORT,58.1,-68.03333333
MINGAN,50.28333333,-64.01666667
TALARA,-4.533333333,-81.01666667
DAKAR/EKNES FIELD,14.71666667,-17.01666667
DAKAR/MALLARD FIELD,14.75,-17.05
BANIKA/AAF,-9.066666667,159.0166667
MUNDA/AAF,-8.333333333,157.0166667
ISTRES,43.5,4.083333333
WALLER/BWI,10.61666667,-61.01666667
SOUTH CAICOS ISLAND,21.48333333,-71.05
TONGATABU ISLAND,-21.25,-175
EL AQUINA,36.85,10.01666667
EL DJEM,35.33333333,10.06666667
SISI AHMED,37.2,9.083333333
ADANA,36.98333333,35.01666667
WARRINGTON,53.38333333,-2.05